video_title,channel_name,views,likes,published_at,video_url
DESI TINDER SHOULD BE BANNED ASAP!,RishuZone Gaming,157388,0,Unknown,https://www.youtube.com/watch?v=QZvD21B73YA
Dank Rishu Vs ItzAru (Real) - END OF WUSHANG??😰,ItzAruGod,17190,0,Unknown,https://www.youtube.com/watch?v=WY8373pvC40
HAPPY MH0TERS DAY -!moj | 21 April - 22 April| DANK RISHU PRIVATE STREAM,DANK RISHU DELETED STREAM ,19569,0,Unknown,https://www.youtube.com/watch?v=9jGsN05LKLQ
INDIAN INSTAGRAM COMEDIANS ARE THE WORST PT.2!,Dank Rishu,1393127,0,Unknown,https://www.youtube.com/watch?v=PfRW-Yyq7ds
WuShang Clan Funniest Moments!,RishuZone Gaming,56465,0,Unknown,https://www.youtube.com/watch?v=mlZTbmFNdAM
World’s RUDEST Restaurants!,RishuZone Gaming,144277,0,Unknown,https://www.youtube.com/watch?v=-oK9FA6jAM8
The Rajpal Yadav Conspiracy Theory,RishuZone Gaming,86829,0,Unknown,https://www.youtube.com/watch?v=xNWhgBSsiv8
Indian Tinder Challenge has officially gone too far!,RishuZone Gaming,158784,0,Unknown,https://www.youtube.com/watch?v=yOmqKWtek7k
Dank Rishu Translator!,RishuZone Gaming,36841,0,Unknown,https://www.youtube.com/watch?v=YfMnPH2mBh4
HAPPY MOTHERS DAY ! moj Dank rishu,wushangpaglu,3,0,Unknown,https://www.youtube.com/watch?v=Z72GIcBdq5g
PUNJABI PHYSICSWALLAH is INSANE! ft @SunRayBee,Dank Rishu,417925,0,Unknown,https://www.youtube.com/watch?v=gCTkuxvDQCI
wE gOT dRuNk 🥴,RishuZone Gaming,75540,0,Unknown,https://www.youtube.com/watch?v=psFATtxg2Nw
BIGGEST INDIAN FITNESS COLLAB!,Dank Rishu,2007015,0,Unknown,https://www.youtube.com/watch?v=pJe8sfrCkp4
Dank Rishu Private Livestream | the allen files - !moj | 31 Jan 1 Feb 2026 | Flickclipper,Flick Clipper,9905,0,Unknown,https://www.youtube.com/watch?v=DySv_LQuY9s
MUSKAN KARIA,Dank Rishu,861563,0,Unknown,https://www.youtube.com/watch?v=h5nAM8tLxsg
Dank Rishu funniest OYO Prank Call 😂,RishuZone Gaming,86024,0,Unknown,https://www.youtube.com/watch?v=tBmddnzlZTA
YOUTUBERS HOUSE TOUR! 🤑,RishuZone Gaming,167739,0,Unknown,https://www.youtube.com/watch?v=DThl_uq1UL8
Shah Rukh Khan Sneaked Into My House! 😳,RishuZone Gaming,123013,0,Unknown,https://www.youtube.com/watch?v=udeotWpwJNc
DARKEST SOURAV JOSHI THEORY! (proof),RishuZone Gaming,232381,0,Unknown,https://www.youtube.com/watch?v=FyouWfaaJvo
Dank Rishu reacts to Sourav Joshi's fiance vlog ft Baua,Xafda Club ,235260,0,Unknown,https://www.youtube.com/watch?v=PuXQiEOrHTw
Trying AUTHENTIC NEPALI FOOD with @DankRishu,Aayush Sapra Daily,725660,0,Unknown,https://www.youtube.com/watch?v=BQVXxlI11V4
Elvish Yadav roast by Dank rishu  (Deleted Video),Toast kre Roast,67386,0,Unknown,https://www.youtube.com/watch?v=7z9Fa7u58Lo
Condition: SAIYAARA🥀 - Patient Zero 💔,Dank Rishu,415933,0,Unknown,https://www.youtube.com/watch?v=AqMC3pp0gYs
The Curious Case of Aarush Bhola..,RishuZone Gaming,70984,0,Unknown,https://www.youtube.com/watch?v=-5oY9ovZIlQ
AZAR MASTI 🤣 pt.226,RishuZone Gaming,216397,0,Unknown,https://www.youtube.com/watch?v=9IrmFxPS6l4
Cultural Learnings of an Indian Hood!,Dank Rishu,1459196,0,Unknown,https://www.youtube.com/watch?v=39xr-rlslXQ
Officially DONE with Indian Tinder IRL! 🙏,RishuZone Gaming,798886,0,Unknown,https://www.youtube.com/watch?v=PMBpxGio0OE
Dank Rishu reacts to RUDEST Restaurants! 😡,RishuZone Gaming,146744,0,Unknown,https://www.youtube.com/watch?v=w5SZ0Df427M
"Baua found an Algerian Girl | Dank Rishu , Baua and Arpit Bala Azar masti | Best stream highlights",pathri xo,141326,0,Unknown,https://www.youtube.com/watch?v=iBYvqvjnuf8
we shouldn't have done this..,RishuZone Gaming,102781,0,Unknown,https://www.youtube.com/watch?v=ZyvYDJiz-VM
