video_title,channel_name,views,likes,published_at,video_url
BRO WHAT DID I WATCH,Tanmay Bhat,2279825,0,Unknown,https://www.youtube.com/watch?v=J6UTG09xko4
COMEDIANS REACT TO UNSEEN CELEBRITY VIDEOS,Tanmay Bhat,2840496,0,Unknown,https://www.youtube.com/watch?v=KjevyQX49gw
ARIJIT SINGH EXPOSED,Tanmay Bhat,2278344,0,Unknown,https://www.youtube.com/watch?v=YA_fdwb5umc
TINDER IN REAL LIFE,Tanmay Bhat,566352,0,Unknown,https://www.youtube.com/watch?v=6POBT8Wn0rc
"@tanmaybhat , @PrashastiSinghStandup & @rohanjoshi8016 react to Indian Matchmaking Season 2 | Netflix India",Netflix India,1860642,0,Unknown,https://www.youtube.com/watch?v=FPRmOV_nEL8
RANVEER SINGH IS SAVAGE,Tanmay Bhat,2531437,0,Unknown,https://www.youtube.com/watch?v=SX2PbtVaKlQ
COMEDIANS REACT TO INDIAS FUNNIEST KIDS,Tanmay Bhat,3455105,0,Unknown,https://www.youtube.com/watch?v=vQgaSePyThE
THE CRAZIEST SHOW IN INDIA,Tanmay Bhat,2125942,0,Unknown,https://www.youtube.com/watch?v=CormEAE-LCQ
NASA LEAKED THIS AUDIO 😱,Tanmay Bhat,4329584,0,Unknown,https://www.youtube.com/watch?v=5afErrqrs6w
Why Does Sunil Pal Hate Me? :(,Tanmay Bhat,7148533,0,Unknown,https://www.youtube.com/watch?v=m4bSQyO-LvQ
EVERY ENGINEER WILL RELATE,Tanmay Bhat,6114542,0,Unknown,https://www.youtube.com/watch?v=-EnEoyCmVKs
WHY ARE ENGINEERS SINGLE?,Tanmay Bhat,4799400,0,Unknown,https://www.youtube.com/watch?v=1m3zQrYvICY
IS SHE INDIAS SMARTEST STUDENT?!,Tanmay Bhat,4069666,0,Unknown,https://www.youtube.com/watch?v=spXC6MdX88w
REACTING TO RAGHAV CHADDA MEMES Ft. @raviguptacomedy,Tanmay Bhat,3509469,0,Unknown,https://www.youtube.com/watch?v=AkKgE7-MmAw
DHURANDHAR 3 LEAKED!,Tanmay Bhat,3113903,0,Unknown,https://www.youtube.com/watch?v=-mv8_0QlveI
BOARD EXAM CANCELLED?!?!,Tanmay Bhat,4224038,0,Unknown,https://www.youtube.com/watch?v=eVKqo6NWnR0
AAG LAGA DI - VLOG 24,Tanmay Bhat,4330615,0,Unknown,https://www.youtube.com/watch?v=wy790KNXPgM
SECRET HACKS TO TOP EXAMS,Tanmay Bhat,3453566,0,Unknown,https://www.youtube.com/watch?v=VrpsNdHIvv4
BEST NOODLES IN INDIA? - VLOG 27,Tanmay Bhat,4074610,0,Unknown,https://www.youtube.com/watch?v=it8icsQ7bvM
INDIA's WEIRDEST STREET FOOD Pt. 4,Tanmay Bhat,4281966,0,Unknown,https://www.youtube.com/watch?v=0SFXh0DEAbQ
INDIA'S MOST SAVAGE TEACHER,Tanmay Bhat,4952322,0,Unknown,https://www.youtube.com/watch?v=-kgGSzI7PhQ
THE QUARANTINE VLOG - VLOG 22,Tanmay Bhat,2476716,0,Unknown,https://www.youtube.com/watch?v=soyRgigHpP8
THE TRUTH ABOUT COLLEGE FASHION SHOWS,Tanmay Bhat,3410150,0,Unknown,https://www.youtube.com/watch?v=--gle8ZtZm4
POOKIE MAHARAJ EXPOSED?!?!,Tanmay Bhat,6089696,0,Unknown,https://www.youtube.com/watch?v=pOa5Mp6Gvac
Students Se Pange Mat Lo | Stand Up Comedy | Tanmay Bhat,Tanmay Bhat,8105736,0,Unknown,https://www.youtube.com/watch?v=4H5dtevdkEY
INDIA'S SMARTEST ENGINEERING STUDENT,Tanmay Bhat,4126727,0,Unknown,https://www.youtube.com/watch?v=qY2ch-rbJdA
INDIA'S BEST SCIENCE TEACHER,Tanmay Bhat,4725766,0,Unknown,https://www.youtube.com/watch?v=wS1opMiNmk8
INDIA VS PAKISTAN WORLD CUP REVIEW,Tanmay Bhat,3685824,0,Unknown,https://www.youtube.com/watch?v=4sMdUDzsEq0
INDIA'S SMARTEST STUDENT DID WHAT?!,Tanmay Bhat,4732718,0,Unknown,https://www.youtube.com/watch?v=SOsP9N8xuuM
HONEY SINGH EXPOSED?!?!,Tanmay Bhat,2636763,0,Unknown,https://www.youtube.com/watch?v=2RG_cxjxOf4
