video_title,channel_name,views,likes,published_at,video_url
"EDITOR'S SHOW: বিজেপির বিরুদ্ধে সন্ত্রাসের অভিযোগ, সরব মমতা-অভিষেক! কী বলছেন নিহতের পরিবার-পরিজন?",TV9 Bangla,19435,0,Unknown,https://www.youtube.com/watch?v=hMFJfjH-9V0
"Rajeev Kumar Security: যে রাজীব কুমারের জন্য ধর্নায় বসেছিলেন মমতা, সেই রাজীবের নিরাপত্তা কমল...",TV9 Bangla,12394,0,Unknown,https://www.youtube.com/watch?v=piDk0HtFXmo
"CM Suvendu Adhikari on Trinamool: বাংলায় এই বদল শুধু সরকার বদল নয়, দ্বিতীয় স্বাধীনতা: শুভেন্দু",TV9 Bangla,8520,0,Unknown,https://www.youtube.com/watch?v=zaJYY45gIl8
"Assembly, Tapas Roy: দেখো দেখো, অনেক তো করেছ, দেখতে খারাপ লাগছে?: তাপস | #TV9D",TV9 Bangla,233573,0,Unknown,https://www.youtube.com/watch?v=NvdnMveukdI
Abhishek Banerjee News: জামিন অযোগ্য ধারায় বিধাননগর সাইবার ক্রাইম থানায় অভিষেকের বিরুদ্ধে FIR,TV9 Bangla,100419,0,Unknown,https://www.youtube.com/watch?v=I2ML5jimYi8
Mamata Banerjee News: হাইকোর্টে প্রাক্তন মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়,TV9 Bangla,74951,0,Unknown,https://www.youtube.com/watch?v=V2BW24zUiIo
CM Suvendu Adhikari on Abhishek Banerjee: অভিষেককে নিয়ে কী বললেন শুভেন্দু? | #TV9D,TV9 Bangla,113605,0,Unknown,https://www.youtube.com/watch?v=7HlqRFkJw_E
"Kakoli Ghosh Dastidar: '৪ দশকের আনুগত্যর জন্য পুরস্কৃত হলাম', সোশ্যাল মিডিয়ায় অভিমানী কাকলি",TV9 Bangla,20919,0,Unknown,https://www.youtube.com/watch?v=qyMd-Pl5dpg
"Siddiqulla Chowdhury, Eid al-Adha Controversy: পুলিশ পিটিয়ে জালে ১৫, নেপথ্যে কার প্ররোচনা?",TV9 Bangla,65200,0,Unknown,https://www.youtube.com/watch?v=T6nc0U8Dm8s
Garia Crime News: ভরদুপুরে তৃণমূল কর্মীর বিরুদ্ধে হামলার অভিযোগ বিজেপির! | TV9 Bangla,TV9 Bangla,4585,0,Unknown,https://www.youtube.com/watch?v=5DBqGeToHiQ
PRIME TIME SHOW: তৃণমূল সাংসদের ছেলের পোস্ট ঘিরে বিতর্ক,TV9 Bangla,108625,0,Unknown,https://www.youtube.com/watch?v=uplAW5NPf_g
"Kalyan Banerjee-Arup Biswas: কল্যাণ বন্দোপাধ্যায়, অরূপ বিশ্বাসের বাড়ির 'হাউস গার্ড' তুলে নেওয়া হল!",TV9 Bangla,64244,0,Unknown,https://www.youtube.com/watch?v=CTxgFkI6A9c
"Fire Breaks Out in Rajdhani Express: দিল্লিগামী রাজধানী এক্সপ্রেসে ভয়াবহ আগুন, পুরো ছাই আস্ত কোচ",TV9 Bangla,5299,0,Unknown,https://www.youtube.com/watch?v=u21XlpkfpQI
"Dilip Ghosh News, Suvendu Adhikari: কেউ জেলের বাইরে থাকবে না: দিলীপ ঘোষ | #TV9D",TV9 Bangla,217070,0,Unknown,https://www.youtube.com/watch?v=4b9FSgl_d3o
"Sankar Ghosh, BJP: রাজনীতি এখন ব্যবসা হয়ে গিয়েছে: শঙ্কর | #TV9D",TV9 Bangla,30144,0,Unknown,https://www.youtube.com/watch?v=P4rCV-Zfpmo
"Humayun Kabir News: আগের সরকারের মতো বিরোধীদের কণ্ঠ যেন রোধ না করা হয়, আবেদন হুমায়ুনের",TV9 Bangla,45919,0,Unknown,https://www.youtube.com/watch?v=IIMcGJ4y-50
"Attack On Suvendu Adhikari Convoy: কোচবিহারে শুভেন্দু অধিকারীর কনভয়ে হামলার ফাইল খুলল, গ্রেফতার ৪",TV9 Bangla,41124,0,Unknown,https://www.youtube.com/watch?v=Amk4c_24KIw
Siddiqulla Chowdhury: ইদের আগে মুসলিমদের 'প্ররোচনা' পুরোদমে! কুরবানির নামে সিদ্দিকুল্লা যা বললেন...,TV9 Bangla,106262,0,Unknown,https://www.youtube.com/watch?v=n5jaOlGJb8Y
"Suvendu Adhikari On Allowance: বড় সিদ্ধান্ত মুখ্যমন্ত্রীর, দ্বিগুণ হচ্ছে বিধবা ভাতা, বার্ধক্য ভাতা",TV9 Bangla,193804,0,Unknown,https://www.youtube.com/watch?v=vJ65oJYvwH8
"CM Suvendu Adhikari, Diamond Harbour: প্রথম প্রশাসনিক বৈঠক করতে ডায়মন্ড হারবারে মুখ্যমন্ত্রী",TV9 Bangla,12758,0,Unknown,https://www.youtube.com/watch?v=KKYevN4RCFQ
"Suvendu Adhikari: আইনশৃঙ্খলা নিয়ে কড়া বার্তা মুখ্যমন্ত্রীর,পুলিশ ওয়েলফেয়ার বোর্ড ভাঙলেন শুভেন্দু",TV9 Bangla,5945,0,Unknown,https://www.youtube.com/watch?v=Xbiat4mT23g
PRIME TIME SHOW: বাংলার মানুষ চোখ বন্ধ করে ভরসা করে: প্রতীক উর রহমান,TV9 Bangla,53029,0,Unknown,https://www.youtube.com/watch?v=Ot4qi6f14iY
"BJP Government, Siliguri District: বাংলার মানচিত্রে শিলিগুড়ি কি নতুন জেলা হিসাবে দেখা দিতে চলেছে?",TV9 Bangla,11831,0,Unknown,https://www.youtube.com/watch?v=wqrQRHiDmCM
"EDITOR'S SHOW: কুণাল থেকে কাকলি, পরপর নেতানেত্রী বেফাঁস! তৃণমূলে কি বাঁধ ভাঙছে চেপে রাখা রাগ?",TV9 Bangla,49643,0,Unknown,https://www.youtube.com/watch?v=JkbYLbkVQ6Q
Baidyabati TMC Councillor Arrested: বিজেপি কর্মীদের মারধরের অভিযোগে গ্রেফতার তৃণমূল কাউন্সিলর!,TV9 Bangla,905,0,Unknown,https://www.youtube.com/watch?v=8tocCvpYinM
Fact Checking | Post Poll Violence: ভোটের পর সত্যিই কি ১০ তৃণমূল কর্মী খুন?| TV9 BANGLA,TV9 Bangla,1207,0,Unknown,https://www.youtube.com/watch?v=unjfgIJnkR8
"PM SHRI Schools Scheme: বাংলাতেও জাতীয় শিক্ষানীতি, ভেঙে পড়া শিক্ষাব্যবস্থাকে বুস্ট করতে এই উদ্যোগ",TV9 Bangla,1991,0,Unknown,https://www.youtube.com/watch?v=F5bIwXhZcK8
"Amit Shah, Abhishek Banerjee: অমিত শাহকে হুমকি দেওয়ার অভিযোগে অভিষেক বন্দ্যোপাধ্যায়ের বিরুদ্ধে FIR",TV9 Bangla,171631,0,Unknown,https://www.youtube.com/watch?v=rVA6j-1rtH4
