video_title,channel_name,views,likes,published_at,video_url
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=u-dEnJpCGAQ
Steve Irwin Sneaks Up On the King of the Outback! | The Crocodile Hunter | Animal Planet,Animal Planet,6339,0,Unknown,https://www.youtube.com/watch?v=zcncwZoPyLc
2 Hours with Earth's Most Extraordinary Animals | BBC Earth,BBC Earth,2629472,0,Unknown,https://www.youtube.com/watch?v=PkcnAB09ZXU
Gator in the Elevator!? | Gator Boys | Animal Planet,Animal Planet,19193,0,Unknown,https://www.youtube.com/watch?v=GAV2TB8XE4U
All 35 Confirmed ANIMALS with Images in Planet Zoo 2,Rudi Rennkamel,11921,0,Unknown,https://www.youtube.com/watch?v=UYxJu5znZtk
Hostile Planet (FULL EPISODE) | Battle for Survival in Predator Territory | Animal documentary,WILD NATURE - Nature animal documentary,73757,0,Unknown,https://www.youtube.com/watch?v=V2TpK-3DfSc
Secret Lives Of Animals Around the Globe | MEGA Episode Special | National Geographic,National Geographic,339227,0,Unknown,https://www.youtube.com/watch?v=gtnTNl_59_Y
The Wonder of America's National Parks | MEGA EPISODE (Season 1 Full Episodes) | National Geographic,National Geographic,13152583,0,Unknown,https://www.youtube.com/watch?v=r10g5gERB04
Snakes on the Base! | The Crocodile Hunter | Animal Planet,Animal Planet,4940,0,Unknown,https://www.youtube.com/watch?v=LOtocUlLhWM
Win or Die (FULL EPISODE) | Deadliest Battles for Survival | Animal documentary,WILD NATURE - Nature animal documentary,1634421,0,Unknown,https://www.youtube.com/watch?v=qprNraWQZF4
Our Planet | From Deserts to Grasslands | FULL EPISODE | Netflix,Netflix,46502299,0,Unknown,https://www.youtube.com/watch?v=XmtXC_n6X6Q
Travel to the Depths of Our Mysterious Oceans | 4K UHD | Blue Planet II | BBC Earth,BBC Earth,28898590,0,Unknown,https://www.youtube.com/watch?v=EF8C4v7JIbA
The Absolute Cutest of Kittens | Too Cute! | Animal Planet,Animal Planet,608485,0,Unknown,https://www.youtube.com/watch?v=h-kLOKh08M0
Deadly Gator at the Job Site! | Gator Boys | Animal Planet,Animal Planet,28977,0,Unknown,https://www.youtube.com/watch?v=O8tLYSAQBbk
"A Snake with TWO Heads?! | Weird, True, and Freaky | Animal Planet",Animal Planet,3890,0,Unknown,https://www.youtube.com/watch?v=8dwntcvZU4I
Our Planet | Jungles | FULL EPISODE | Netflix,Netflix,28800932,0,Unknown,https://www.youtube.com/watch?v=um2Q9aUecy0
Wild Antarctica | Inside the Lives of Animals at the Edge of the Frozen World | Animal Documentary,Unreal Planet Earth,193796,0,Unknown,https://www.youtube.com/watch?v=YJB7WZFJDgw
Plannet Animals 8K ULTRA HD - Wild Animals of Rainforest With Calming Music,Wild Wonders 8K,3599223,0,Unknown,https://www.youtube.com/watch?v=IgsA00IsrQo
WILD AMAZON | Mysteries of the Ultimate Predators #naturedocumentaries | Wild Nature,WILD Nature - Free Documentary,2665985,0,Unknown,https://www.youtube.com/watch?v=VC2aJEE7R6c
Animal World 4K - Scenic Wildlife Film With Calming Music,Scenic Relaxation,5394731,0,Unknown,https://www.youtube.com/watch?v=lONZdiuuQAs&t=2709s
Steve Irwin’s Encounters with Sea Creatures | The Crocodile Hunter | Animal Planet,Animal Planet,194647,0,Unknown,https://www.youtube.com/watch?v=zbkdf2-EBHM
World's Deadliest MEGA EPISODE | 4K UHD | Nature Animal Documentary,Nature's Moments,326771,0,Unknown,https://www.youtube.com/watch?v=cEOlrW5YIJY
Steve's Favorite Creatures of SEASON 4 | The Crocodile Hunter | Animal Planet,Animal Planet,325377,0,Unknown,https://www.youtube.com/watch?v=wo6z3UK_I_4
Breathtaking Moments from Nature - Narrated by David Attenborough | BBC Earth,BBC Earth,995057,0,Unknown,https://www.youtube.com/watch?v=jdZSMhBa4UM
Our Planet | Fresh Water | FULL EPISODE | Netflix,Netflix,26848366,0,Unknown,https://www.youtube.com/watch?v=R2DU85qLfJQ
Most DANGEROUS Sharks | Up Close and Dangerous | Animal Planet,Animal Planet,68724,0,Unknown,https://www.youtube.com/watch?v=togg2SNlkLk
Our Planet | High Seas | FULL EPISODE | Netflix,Netflix,42492785,0,Unknown,https://www.youtube.com/watch?v=9FqwhW0B3tY
Baby Animals 4K - Amazing World Of Young Animals | Scenic Relaxation Film,Scenic Scenes,24852773,0,Unknown,https://www.youtube.com/watch?v=oRDRfikj2z8
Most Beautiful Breeds | Dogs 101 | Animal Planet,Animal Planet,72149,0,Unknown,https://www.youtube.com/watch?v=TJvyuF8T5UM
Steve's Favorite Wild Creatures of SEASON 3 | The Crocodile Hunter | Animal Planet,Animal Planet,199888,0,Unknown,https://www.youtube.com/watch?v=8wpPfQdgfd0
