video_title,channel_name,views,likes,published_at,video_url
WuShang Clan Funniest Moments!,RishuZone Gaming,114852,0,Unknown,https://www.youtube.com/watch?v=mlZTbmFNdAM
Elvish Yadav roast by Dank rishu  (Deleted Video),Toast kre Roast,68636,0,Unknown,https://www.youtube.com/watch?v=7z9Fa7u58Lo
How to DOWNLOAD Girlfriend! (2026 Guide),RishuZone Gaming,49741,0,Unknown,https://www.youtube.com/watch?v=NqGk_4G38k0
Indian Tinder Challenge has officially gone too far!,RishuZone Gaming,169276,0,Unknown,https://www.youtube.com/watch?v=yOmqKWtek7k
Indian Tinder Challenge shouldn't EXIST! 😭,RishuZone Gaming,393943,0,Unknown,https://www.youtube.com/watch?v=YKQHA4VaYXM
Dank Rishu Translator!,RishuZone Gaming,53728,0,Unknown,https://www.youtube.com/watch?v=YfMnPH2mBh4
DESI TINDER SHOULD BE BANNED ASAP!,RishuZone Gaming,173640,0,Unknown,https://www.youtube.com/watch?v=QZvD21B73YA
"How To ""Fix"" Your Posture PERMANENTLY!",RishuZone Gaming,70747,0,Unknown,https://www.youtube.com/watch?v=yjTJPU84o5M
Officially DONE with Indian Tinder IRL! 🙏,RishuZone Gaming,961796,0,Unknown,https://www.youtube.com/watch?v=PMBpxGio0OE
Dank Rishu reacts to Sourav Joshi's fiance vlog ft Baua,Xafda Club ,240940,0,Unknown,https://www.youtube.com/watch?v=PuXQiEOrHTw
The Curious Case of Aarush Bhola..,RishuZone Gaming,86592,0,Unknown,https://www.youtube.com/watch?v=-5oY9ovZIlQ
"Baua found an Algerian Girl | Dank Rishu , Baua and Arpit Bala Azar masti | Best stream highlights",pathri xo,149640,0,Unknown,https://www.youtube.com/watch?v=iBYvqvjnuf8
wE gOT dRuNk 🥴,RishuZone Gaming,82750,0,Unknown,https://www.youtube.com/watch?v=psFATtxg2Nw
Dad PRANK on Underwear 😜 (GONE TOO WILD!),RishuZone Gaming,164172,0,Unknown,https://www.youtube.com/watch?v=Wqbknkf5L48
WEIRDEST SCOUT MEME OF ALL TIME! 😭,RishuZone Gaming,148814,0,Unknown,https://www.youtube.com/watch?v=RAliuNhk-ag
AZAR MASTI 🤣 pt.226,RishuZone Gaming,247699,0,Unknown,https://www.youtube.com/watch?v=9IrmFxPS6l4
Dad PRANK on Invigilator! (GONE WRONG) 💀,RishuZone Gaming,359073,0,Unknown,https://www.youtube.com/watch?v=D6VQjzzEIMk
The Rajpal Yadav Conspiracy Theory,RishuZone Gaming,98233,0,Unknown,https://www.youtube.com/watch?v=xNWhgBSsiv8
Trying AUTHENTIC NEPALI FOOD with @DankRishu,Aayush Sapra Daily,738289,0,Unknown,https://www.youtube.com/watch?v=BQVXxlI11V4
MUSKAN KARIA,Dank Rishu,865917,0,Unknown,https://www.youtube.com/watch?v=h5nAM8tLxsg
we shouldn't have done this..,RishuZone Gaming,109383,0,Unknown,https://www.youtube.com/watch?v=ZyvYDJiz-VM
Dank Rishu - 21-04-2026 - HAPPY MH0TERS DAY -!moj - Private Live Stream,Wushang Archive,29835,0,Unknown,https://www.youtube.com/watch?v=wC8TT3qdYIw
delirium tremens -!moj (Dank Rishu Deleted Stream 21-22 May),Bauna Baua (Dank Rishu Deleted Stream),18672,0,Unknown,https://www.youtube.com/watch?v=wF_WDzxZJIg
LPG Giveaway -moj! | 30th march -31st March | DankRishu Private stream,DANK RISHU DELETED STREAM ,35603,0,Unknown,https://www.youtube.com/watch?v=HMiraTnuA28
HE LEAKED MY CHATS WITH CARRYMINATI! 😱,RishuZone Gaming,89185,0,Unknown,https://www.youtube.com/watch?v=Wmv_Ca2Fpmg
Dank Rishu reacts to RUDEST Restaurants! 😡,RishuZone Gaming,162082,0,Unknown,https://www.youtube.com/watch?v=w5SZ0Df427M
@DankRishu angry on random | #azar Dank Rishu,random clips that go hard,76502,0,Unknown,https://www.youtube.com/watch?v=PX1CEjcbM-4
My Response!,RishuZone Gaming,102350,0,Unknown,https://www.youtube.com/watch?v=EBlHF3mJ6UI
HAPPY MH0TERS DAY -!moj | 21 April - 22 April| DANK RISHU PRIVATE STREAM,DANK RISHU DELETED STREAM ,30510,0,Unknown,https://www.youtube.com/watch?v=9jGsN05LKLQ
DankRishu Calls A Call Gurl! 👉👈,Abdul Sharma,445597,0,Unknown,https://www.youtube.com/watch?v=HcFY06XZdcU
