video_title,channel_name,views,likes,published_at,video_url
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=qmmaQI-tg7w
"Future, Tyla, FIFA Sound - Game Time (FIFA World Cup 2026™) [Official Music Video]",FIFA,6696420,0,Unknown,https://www.youtube.com/watch?v=JLucCHwY-2c&list=RDJLucCHwY-2c&start_radio=1
Highlights | Germany 7-1 Curacao | FIFA World Cup 2026™,FIFA,2020800,0,Unknown,https://www.youtube.com/watch?v=B6-Z5ul2ccQ
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=UZ_7qFbFYRY
"LISA, Anitta, Rema, FIFA Sound - Goals (FIFA World Cup 2026™) [Official Music Video]",FIFA,21659359,0,Unknown,https://www.youtube.com/watch?v=safzyuZNCGI&list=RDsafzyuZNCGI&start_radio=1
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=pk_d-aFnZ0c
"FIFA World Cup 2026 | Preview Series | Episode 1: ""The World Is Watching""",FIFA,220188,0,Unknown,https://www.youtube.com/watch?v=PBXkGP2CEFs
Highlights | Saudi Arabia 1-1 Uruguay | FIFA World Cup 2026™,FIFA,320062,0,Unknown,https://www.youtube.com/watch?v=XrDExPcLCXY
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=SlmYDbzHqjg
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=yOPRItttrPU
I Beat FIFA With $1,MoreCrunch,1685521,0,Unknown,https://www.youtube.com/watch?v=YRZkyhGhOL0
30 MINUTES OF THE BEST EVER FIFA WORLD CUP GOALS (2010-2022),FIFA,587150,0,Unknown,https://www.youtube.com/watch?v=2YZxC2Rmr8M
Scoring 1 Impossible Goal in Every FIFA,Huge Gorilla,771022,0,Unknown,https://www.youtube.com/watch?v=zsfRa5tii44
WORLD CUP 2026 TOUR (TEASER),IShowSpeed,2291587,0,Unknown,https://www.youtube.com/watch?v=6Q8clgHW09g
"Andrea Bocelli, David Guetta, EJAE, Megan Thee Stallion - DNA (FIFA World Cup 2026™)",FIFA,3608729,0,Unknown,https://www.youtube.com/watch?v=alTzdOAAMhc&list=RDalTzdOAAMhc&start_radio=1
The Official FIFA World Cup 26™ Theme,FIFA Sound - Topic,3270164,0,Unknown,https://www.youtube.com/watch?v=x-1zY4cPOpk&list=RDx-1zY4cPOpk&start_radio=1
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=Z_slTWayFK0&list=RDZ_slTWayFK0&start_radio=1
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=Tz9R1OYdTSs
1 TOTY from Every FIFA…,S2G,2474356,0,Unknown,https://www.youtube.com/watch?v=802ShJc3PyY
2026 FIFA World Cup for Kids! | Learn About Football with Ozzie!,Ozzie – Educational Videos For Kids,28539,0,Unknown,https://www.youtube.com/watch?v=VKJVsVxVmg4
2018 FIFA World Cup | Every Goal from Matchday 3,FIFA,194476,0,Unknown,https://www.youtube.com/watch?v=B48U2-VfW9w
"Jelly Roll, Carín León, FIFA Sound - Lighter (FIFA World Cup 2026™) [Official Music Video]",FIFA,3276486,0,Unknown,https://www.youtube.com/watch?v=v3iWqU0ySoE&list=RDv3iWqU0ySoE&start_radio=1
2022 FIFA World Cup | Every Goal | Final Group Matches,FIFA,4013434,0,Unknown,https://www.youtube.com/watch?v=yzh2YCdf14s
Iconic FIFA World Cup Moments Part 4,FIFA,610964,0,Unknown,https://www.youtube.com/watch?v=ij9GIddnxZ0
FIFA Heroes | Official Reveal Trailer,FIFA,682111,0,Unknown,https://www.youtube.com/watch?v=Wbd-7QTnHyY
"2022 FIFA World Cup | Every Goal | Quarters, Semis & Finals",FIFA,4774154,0,Unknown,https://www.youtube.com/watch?v=QGz3FdOQv1k
USA vs Germany - ALL GOALS & Highlights | FIFA International Friendly 2026,House of Highlights,6330217,0,Unknown,https://www.youtube.com/watch?v=epg75De5I5k
Highlights | USA 4-1 Paraguay | FIFA World Cup 2026™,FIFA,2238798,0,Unknown,https://www.youtube.com/watch?v=0PVo3bk-TMk
Unknown,Unknown,0,0,Unknown,https://www.youtube.com/watch?v=wzKYVElYRrw
USA vs Portugal - ALL GOALS & Highlights | FIFA International Friendly 2026,House of Highlights,6951059,0,Unknown,https://www.youtube.com/watch?v=2EV1TIikqRU
